Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,015590,1989,06,18.6,Y
IDCJAC0002,015590,1989,07,18.3,Y
IDCJAC0002,015590,1989,08,20.3,Y
IDCJAC0002,015590,1989,09,28.2,Y
IDCJAC0002,015590,1989,10,33.5,Y
IDCJAC0002,015590,1989,11,31.5,Y
IDCJAC0002,015590,1989,12,35.9,Y
IDCJAC0002,015590,1990,01,37.6,Y
IDCJAC0002,015590,1990,02,34.4,Y
IDCJAC0002,015590,1990,03,34.8,Y
IDCJAC0002,015590,1990,04,27.7,Y
IDCJAC0002,015590,1990,05,23.3,Y
IDCJAC0002,015590,1990,06,17.8,Y
IDCJAC0002,015590,1990,07,21.2,Y
IDCJAC0002,015590,1990,08,23.2,Y
IDCJAC0002,015590,1990,09,26.3,Y
IDCJAC0002,015590,1990,10,32.5,Y
IDCJAC0002,015590,1990,11,37.0,Y
IDCJAC0002,015590,1990,12,37.6,Y
IDCJAC0002,015590,1991,01,35.1,Y
IDCJAC0002,015590,1991,02,34.6,Y
IDCJAC0002,015590,1991,03,34.0,Y
IDCJAC0002,015590,1991,04,29.2,Y
IDCJAC0002,015590,1991,05,23.6,Y
IDCJAC0002,015590,1991,06,23.1,Y
IDCJAC0002,015590,1991,07,21.5,Y
IDCJAC0002,015590,1991,08,23.6,Y
IDCJAC0002,015590,1991,09,29.6,Y
IDCJAC0002,015590,1991,10,33.7,Y
IDCJAC0002,015590,1991,11,34.9,Y
IDCJAC0002,015590,1991,12,36.5,Y
IDCJAC0002,015590,1992,01,36.0,Y
IDCJAC0002,015590,1992,02,37.1,Y
IDCJAC0002,015590,1992,03,35.4,Y
IDCJAC0002,015590,1992,04,29.5,Y
IDCJAC0002,015590,1992,05,21.6,Y
IDCJAC0002,015590,1992,06,20.2,Y
IDCJAC0002,015590,1992,07,20.9,Y
IDCJAC0002,015590,1992,08,22.3,Y
IDCJAC0002,015590,1992,09,27.7,Y
IDCJAC0002,015590,1992,10,29.2,Y
IDCJAC0002,015590,1992,11,33.1,Y
IDCJAC0002,015590,1992,12,34.8,Y
IDCJAC0002,015590,1993,01,37.1,Y
IDCJAC0002,015590,1993,02,35.0,Y
IDCJAC0002,015590,1993,03,35.0,Y
IDCJAC0002,015590,1993,04,30.0,Y
IDCJAC0002,015590,1993,05,22.7,Y
IDCJAC0002,015590,1993,06,16.2,Y
IDCJAC0002,015590,1993,07,20.2,Y
IDCJAC0002,015590,1993,08,22.5,Y
IDCJAC0002,015590,1993,09,25.4,Y
IDCJAC0002,015590,1993,10,28.9,Y
IDCJAC0002,015590,1993,11,35.2,Y
IDCJAC0002,015590,1993,12,34.0,Y
IDCJAC0002,015590,1994,01,39.2,Y
IDCJAC0002,015590,1994,02,35.0,Y
IDCJAC0002,015590,1994,03,32.7,Y
IDCJAC0002,015590,1994,04,28.1,Y
IDCJAC0002,015590,1994,05,24.9,Y
IDCJAC0002,015590,1994,06,20.0,Y
IDCJAC0002,015590,1994,07,20.3,Y
IDCJAC0002,015590,1994,08,21.5,Y
IDCJAC0002,015590,1994,09,28.5,Y
IDCJAC0002,015590,1994,10,32.6,Y
IDCJAC0002,015590,1994,11,32.9,Y
IDCJAC0002,015590,1994,12,36.9,Y
IDCJAC0002,015590,1995,01,35.5,Y
IDCJAC0002,015590,1995,02,34.4,Y
IDCJAC0002,015590,1995,03,31.6,Y
IDCJAC0002,015590,1995,04,28.2,Y
IDCJAC0002,015590,1995,05,20.7,Y
IDCJAC0002,015590,1995,06,19.5,Y
IDCJAC0002,015590,1995,07,20.4,Y
IDCJAC0002,015590,1995,08,24.1,Y
IDCJAC0002,015590,1995,09,29.1,Y
IDCJAC0002,015590,1995,10,30.3,Y
IDCJAC0002,015590,1995,11,34.3,Y
IDCJAC0002,015590,1995,12,36.4,Y
